player_id,name,position
1428,Peyton Manning,QB
12514,LeSean McCoy,RB
2580,Drew Brees,QB
11307,Jamaal Charles,RB
10452,Adrian Peterson,RB
13232,Jimmy Graham,TE
14001,Colin Kaepernick,QB
14877,Nick Foles,QB
14874,Andrew Luck,QB
14881,Russell Wilson,QB
10456,Marshawn Lynch,RB
11278,Matt Forte,RB
5529,Philip Rivers,QB
9597,Jay Cutler,QB
10447,Calvin Johnson,WR
12483,Matthew Stafford,QB
14012,Andy Dalton,QB
15826,Giovani Bernard,RB
5209,Tony Romo,QB
5536,Ben Roethlisberger,QB
8439,Aaron Rodgers,QB
11923,Steven Hauschka,PK
12477,Brian Hoyer,QB
13203,C.J. Spiller,RB
13216,Demaryius Thomas,WR
13982,Julio Jones,WR
13983,A.J. Green,WR
15823,Montee Ball,RB
4461,Andre Johnson,WR
5528,Larry Fitzgerald,WR
9704,Stephen Gostkowski,PK
10195,Fred Jackson,RB
10621,Nick Folk,PK
12497,Arian Foster,RB
13210,Ben Tate,RB
13295,Emmanuel Sanders,WR
13553,Victor Cruz,WR
13934,Antonio Brown,WR
15009,Alfred Morris,RB
15825,Le'Veon Bell,RB
15848,Eddie Lacy,RB
2578,Reggie Wayne,WR
4260,Shaun Hill,QB
8416,Alex Smith,QB
8479,Frank Gore,RB
9588,Reggie Bush,RB
9705,Brandon Marshall,WR
9838,Marques Colston,WR
12569,Percy Harvin,WR
13215,Dez Bryant,WR
13271,Eric Decker,WR
14005,DeMarco Murray,RB
14912,Alshon Jeffery,WR
15683,Justin Tucker,PK
15807,Cordarrelle Patterson,WR
15996,Zac Stacy,RB
16787,Marqise Lee,WR
16794,Bishop Sankey,RB
1440,Phil Dawson,PK
2330,Tom Brady,QB
4459,Carson Palmer,QB
8664,Ryan Fitzpatrick,QB
9354,Robbie Gould,PK
11270,Jordy Nelson,WR
11439,Pierre Garcon,WR
12503,Rashad Jennings,RB
12563,Michael Crabtree,WR
12601,Mike Wallace,WR
13969,Jake Locker,QB
14028,Stevan Ridley,RB
14032,Torrey Smith,WR
14189,Jordan Cameron,TE
14204,Julius Thomas,TE
14875,Robert Griffin,QB
14876,Ryan Tannehill,QB
14884,Trent Richardson,RB
14924,T.Y. Hilton,WR
14993,Greg Zuerlein,PK
15803,EJ Manuel,QB
15818,Keenan Allen,WR
17172,Cairo Santos,PK
8475,Vincent Jackson,WR
9329,Nick Novak,PK
9592,Vernon Davis,TE
11237,Matt Ryan,QB
11267,Donnie Avery,WR
12537,Jared Cook,TE
12579,Jeremy Maclin,WR
13229,Rob Gronkowski,TE
13489,Mike Williams,WR
13981,Mark Ingram,RB
14816,Kai Forbath,PK
15786,Tavon Austin,WR
15864,Geno Smith,QB
17169,Chandler Catanzaro,TE
60004,Bengals D/ST,D/ST
60029,Panthers D/ST,D/ST
4527,Jason Witten,TE
5549,Steven Jackson,RB
5662,Josh Scobee,PK
8644,Matt Cassel,QB
9646,Maurice Jones-Drew,RB
10475,Greg Olsen,TE
10522,James Jones,WR
11291,Chad Henne,QB
13206,Jonathan Dwyer,RB
15835,Zach Ertz,TE
16757,Derek Carr,QB
17173,Cody Parkey,TE
60021,Eagles D/ST,D/ST
60026,Seahawks D/ST,D/ST
1097,Adam Vinatieri,PK
5526,Eli Manning,QB
9361,Shaun Suisham,PK
10482,Zach Miller,TE
11688,Dan Carpenter,PK
13228,Jermaine Gresham,TE
13587,Chris Ivory,RB
16732,Eric Ebron,TE
2148,Sebastian Janikowski,PK
3609,Josh McCown,QB
4245,Billy Cundiff,PK
4333,Matt Bryant,PK
8627,Derek Anderson,QB
11658,Mike Tolbert,RB
13213,LeGarrette Blount,RB
14908,Michael Floyd,WR
14911,Rueben Randle,WR
15091,Randy Bullock,PK
15918,Caleb Sturgis,PK
17171,Brandon McManus,PK
60008,Lions D/ST,D/ST
60014,Rams D/ST,D/ST
60017,Patriots D/ST,D/ST
3504,Shayne Graham,PK
8544,Darren Sproles,RB
11252,Joe Flacco,QB
11258,Chris Johnson,RB
12516,Knowshon Moreno,RB
14017,Shane Vereen,RB
14885,Doug Martin,RB
17180,Patrick Murray,PK
60013,Raiders D/ST,D/ST
4512,Anquan Boldin,WR
8442,Roddy White,WR
8461,Mike Nugent,PK
12460,Graham Gano,PK
12649,Julian Edelman,WR
13211,Toby Gerhart,RB
13536,Joique Bell,RB
13958,Andrew Hawkins,WR
14322,Dan Bailey,PK
14909,Kendall Wright,WR
15058,Blair Walsh,PK
15795,DeAndre Hopkins,WR
16731,Brandin Cooks,WR
60012,Chiefs D/ST,D/ST
60015,Dolphins D/ST,D/ST
60025,49ers D/ST,D/ST
4680,Josh Brown,PK
5633,Jerricho Cotchery,WR
6016,Malcom Floyd,WR
9613,DeAngelo Williams,RB
9614,Marcedes Lewis,TE
9638,Greg Jennings,WR
10636,Mason Crosby,PK
11788,Danny Woodhead,RB
12731,Ryan Succop,PK
13204,Ryan Mathews,RB
13217,Golden Tate,WR
13231,Dennis Pitta,TE
14053,Randall Cobb,WR
14054,Kyle Rudolph,TE
14151,Jeremy Kerley,WR
14886,Lamar Miller,RB
14922,Mohamed Sanu,WR
15078,Chris Givens,WR
15878,Terrance Williams,WR
16040,C.J. Anderson,RB
16055,Benjamin Cunningham,RB
16547,Maikon Bonani,PK
60018,Saints D/ST,D/ST
60020,Jets D/ST,D/ST
60022,Cardinals D/ST,D/ST
60023,Steelers D/ST,D/ST
60024,Chargers D/ST,D/ST
60028,Redskins D/ST,D/ST
2622,Steve Smith,WR
8444,Heath Miller,TE
9761,Delanie Walker,TE
10147,Miles Austin,WR
10713,Pierre Thomas,RB
11247,Jonathan Stewart,RB
11283,DeSean Jackson,WR
11295,Martellus Bennett,TE
12556,Kenny Britt,WR
12568,Brian Hartline,WR
13225,Riley Cooper,WR
14145,Charles Clay,TE
14153,Denarius Moore,WR
14221,Doug Baldwin,WR
14891,Bernard Pierce,RB
14904,Ladarius Green,TE
15845,Justin Hunter,WR
15860,Jordan Reed,TE
15873,Markus Wheaton,WR
15887,Ryan Griffin,TE
16725,Sammy Watkins,WR
16737,Mike Evans,WR
16777,Carlos Hyde,RB
60003,Bears D/ST,D/ST
60005,Browns D/ST,D/ST
60007,Broncos D/ST,D/ST
60016,Vikings D/ST,D/ST
60027,Buccaneers D/ST,D/ST
60034,Texans D/ST,D/ST
5362,Antonio Gates,TE
9307,Nate Washington,WR
10453,Ted Ginn Jr.,WR
11318,Harry Douglas,WR
11458,Stevie Johnson,WR
11674,Danny Amendola,WR
11717,Marcel Reece,RB
12500,Shonn Greene,RB
12570,Darrius Heyward-Bey,WR
12586,Hakeem Nicks,WR
13207,Dexter McCluster,RB
14040,Jerrel Jernigan,WR
14192,Roy Helu,RB
14900,Coby Fleener,TE
15391,Rod Streater,WR
15448,Mike Brown,WR
15847,Travis Kelce,TE
15893,Andre Ellington,RB
16783,Terrance West,RB
16786,Richard Rodgers,TE
16790,Jarvis Landry,WR
16792,Jace Amaro,TE
16799,Allen Robinson,WR
16803,Jeremy Hill,RB
17163,Allen Hurns,WR
60002,Bills D/ST,D/ST
60009,Packers D/ST,D/ST
60010,Titans D/ST,D/ST
60019,Giants D/ST,D/ST
60033,Ravens D/ST,D/ST
9611,Santonio Holmes,WR
10572,Scott Chandler,TE
10605,Brent Celek,TE
10693,Ahmad Bradshaw,RB
11238,Darren McFadden,RB
11272,John Carlson,TE
11276,Eddie Royal,WR
12576,Brandon LaFell,WR
13226,Andre Roberts,WR
14186,Jordan Todman,RB
14403,Andre Holmes,WR
14424,Joseph Morgan,WR
14894,Robert Turbin,RB
14901,Dwayne Allen,TE
14947,A.J. Jenkins,WR
15349,Cole Beasley,WR
15358,Jarrett Boykin,WR
15428,Jermaine Kearse,WR
15478,Brandon Bolden,RB
15788,Tyler Eifert,TE
15832,Knile Davis,RB
15880,Robert Woods,WR
15920,Latavius Murray,RB
15923,Mychal Rivera,TE
15951,Denard Robinson,RB
15981,Stepfan Taylor,RB
16530,Khiry Robinson,RB
16581,Marlon Brown,WR
16730,Kelvin Benjamin,WR
16763,Jordan Matthews,WR
16795,Austin Seferian-Jenkins,TE
16804,John Brown,WR
16889,Andre Williams,RB
16942,Ka'Deem Carey,RB
17140,Juwan Thompson,RB
60006,Cowboys D/ST,D/ST
9639,Anthony Fasano,TE
9684,Owen Daniels,TE
9695,Jason Avant,WR
11331,Andre Caldwell,WR
11467,Justin Forsett,RB
12489,Donald Brown,RB
12549,Brandon Pettigrew,TE
13214,James Starks,RB
13621,David Nelson,WR
14129,Bilal Powell,RB
14193,Jacquizz Rodgers,RB
14255,DuJuan Harris,RB
14360,Matt Asiata,RB
14518,Shaun Draughn,RB
14918,Jarius Wright,WR
15029,Junior Hemingway,WR
15062,Travis Benjamin,WR
15369,Lance Dunbar,RB
15501,Bobby Rainey,RB
15632,Jonathan Grimes,RB
15980,Levine Toilolo,TE
16285,Tim Wright,TE
16381,Kenbrell Thompkins,WR
16766,C.J. Fiedorowicz,TE
16782,Jerick McKinnon,RB
16793,Cody Latimer,WR
16800,Davante Adams,WR
16944,Devonta Freeman,RB
17164,Silas Redd,RB
15187,Austin Davis,QB
13994,Cam Newton,QB
14914,Brian Quick,WR
10487,Drew Stanton,QB
10467,Dwayne Bowe,WR
15707,Larry Donnell,TE
60011,Colts D/ST,D/ST
12597,Brandon Tate,WR
12705,Brandon Myers,TE
13371,Garrett Graham,TE
13440,Andrew Quarless,TE
14156,Niles Paul,TE
15834,Aaron Dobson,WR
16016,Kenny Stills,WR
60001,Falcons D/ST,D/ST
9643,Devin Hester,WR
10517,Jacoby Jones,WR
11364,Gary Barnidge,TE
13555,Jeff Cumberland,TE
14895,Ronnie Hillman,RB
15968,Mike James,RB
16011,Justin Brown,WR
17133,Isaiah Crowell,RB
17177,Taylor Gabriel,WR
60030,Jaguars D/ST,D/ST
9703,Leon Washington,RB
10327,Micheal Spurlock,WR
12510,Jorvorskie Lane,RB
13212,Anthony Dixon,RB
13357,Jim Dray,TE
13726,Logan Paulsen,TE
14007,Lance Kendricks,TE
14100,Dwayne Harris,WR
14280,Ricardo Lockette,WR
14583,Kamar Aiken,WR
14889,Chris Polk,RB
15067,Taylor Thompson,TE
15230,Chris Owusu,WR
15624,Damaris Johnson,WR
16013,Joseph Randle,RB
16791,Donte Moncrief,WR
14880,Kirk Cousins,QB
17134,Alfred Blue,RB
5941,Wes Welker,WR
14184,Cecil Shorts III,WR
15403,Derek Carrier,TE
10471,Robert Meachem,WR
13456,Mickey Charles Shuler,TE
16950,Lorenzo Taliaferro,RB
17138,Damien Williams,WR
8417,Ronnie Brown,RB
9400,Lance Moore,WR
12567,Brandon Gibson,WR
13097,Darrel Young,RB
13158,Antone Smith,RB
13209,Joe McKnight,RB
13662,Bryan Walters,WR
14035,Austin Pettis,WR
14135,Anthony Sherman,RB
14304,Dane Sanzenbacher,WR
15003,Rhett Ellison,TE
16330,Joseph Fauria,TE
17342,Fitzgerald Toussaint,RB
16728,Teddy Bridgewater,QB
9667,Charlie Whitehurst,QB
15837,Mike Glennon,QB
16724,Blake Bortles,QB
17143,Branden Oliver,RB
17167,Philly Brown,WR
8482,Courtney Roby,WR
14056,Daniel Thomas,RB
17153,Darrin Reaves,RB
10598,Dante Rosario,TE
13376,Clay Harbor,TE
14500,Jeremy Ross,WR
13966,Christian Ponder,QB
8520,Kyle Orton,QB
12585,Louis Murphy,WR
14106,Greg Salas,WR
15755,Fozzy Whittaker,RB
15853,Vance McDonald,TE
16002,Kyle Juszczyk,RB
16022,Ace Sanders,WR
16488,George Winn,RB
16733,Odell Beckham Jr.,WR
4582,Brandon Lloyd,WR
11408,Josh Morgan,WR
12517,Chris Ogbonnaya,RB
13703,Preston Parker,WR
15457,Travaris Cadet,RB
15647,Chase Ford,TE
16121,Luke Willson,TE
16143,Josh Hill,TE
16227,Russell Shepard,WR
16946,Bruce Ellington,WR
17179,Ryan Grant,RB
17183,Trey Watts,RB
11122,Matt Prater,PK
16884,Storm Johnson,RB
16014,Corey Fuller,WR
11461,Peyton Hillis,RB
11373,Jacob Tamme,TE
15351,Derrick Coleman,RB
15994,Theo Riddick,RB
17178,Adam Thielen,WR
15252,Brian Tyms,WR
14402,Chris Hogan,WR
15896,Brice Butler,WR
10287,Daniel Fells,TE
15670,Cooper Helfet,TE
15885,Charles Johnson,WR
15974,Dion Sims,TE
16775,Crockett Gillmore,TE
16784,Tre Mason,RB
17154,Brenton Bersin,RB
13199,Colt McCoy,QB
16814,Zach Mettenberger,QB
11392,Kellen Davis,TE
15364,Jonas Gray,RB
16781,Paul Richardson,WR
16886,Martavis Bryant,WR
16945,De'Anthony Thomas,RB
9668,Derek Hagan,WR
11369,Jerome Felton,RB
15092,Bryce Brown,RB
15296,Joe Banyard,RB
15836,Gavin Escobar,TE
14878,Brandon Weeden,QB
2549,Michael Vick,QB
15822,Stedman Bailey,WR
15855,Christine Michael,RB
17144,Robert Herron,WR
17181,Frankie Hammond,TE
12482,Mark Sanchez,QB
16749,Charles Sims,RB
16956,Marion Grice,RB
12519,Cedric Peerman,RB
17193,James Wright,WR
15839,Marquise Goodwin,WR
16755,Dri Archer,RB
16779,Josh Huff,WR
14037,Ryan Mallett,QB
5557,Benjamin Watson,TE
12536,Chase Coffman,TE
15041,Daniel Herron,RB
15705,Josh Gordon,WR
16172,Jaron Brown,WR
14920,T.J. Graham,WR
